,Unnamed: 0,id,public_metrics,text,likecount,author_id,created_at,edit_history_tweet_ids
60,60,1581926099063255040,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Not me crying in @damnitpam's car because @sonicdrivein was out of banana for my banana shake. https://t.co/yzu6yzzCyF,1,,,
61,61,1581885648398848001,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",It’s another edition of…’YOURS . . . for a COUNTRY SONG.’ 🤠🎶 I love givin away FREE STUFF! Let’s go Sonic Drive-In 😮❤️ 🎶  #CT40 @sonicdrivein #CountryTop40withFITZ #Sonic #FITZTok #GeorgeStrait #countrymusic #FITZplaystheHITS #YOURSforaCOUNTRYSONG #Nashville https://t.co/vhQwuLvYDy,0,,,
62,62,1581867539252269057,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",@sonicdrivein what do we have to do for you to bring back the island fire burger? #islandfireburger,0,,,
63,63,1581858552125460480,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@_Crypto_Tech_ @Whataburger @FiveGuys @sonicdrivein Airdrop:MAGICDOGE
Reward Total:1000USDT &amp; 5.000.000 $MGD
✅Top1:300USDT
✅Top2:200USDT
✅Top3-5:100USDT
✅Top6-20:40USDT
✅Top21-100:62.500 $MGD
End:21th Oct
Join:https://t.co/wXluqkb3mM 
https://t.co/IPJn1qlPtO
@magicdogeglobal

#dogecoin #BSC #MAGICDOGEBNB

#954",0,,,
64,64,1581857810245390336,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@KSoonerpoll @sonicdrivein or @Braums_IceCream ?,0,,,
65,65,1581850058667876352,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",I literally traveled to Antioch today just to visit the local @sonicdrivein so I can have myself a slushie with Nerds Candy mixed in. ☺️😃 https://t.co/EjuNqJ5Eem,0,,,
66,66,1581841707259559936,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","@RKempOne @stevelackmeyer @sonicdrivein N. May, just south of Memorial.",1,,,
67,67,1581840476122263552,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@KanakJaren @sonicdrivein @MichaelTurk Get that protein, get that NIL. @sonicdrivein ball in ur court!",0,,,
68,68,1581838226846728197,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",when you order online from @sonicdrivein but you live right down the street so you sit in the parking space to get your order bc you dont know what curbside pickup is lmao sorry sonic employees but i hope it made u laugh,1,,,
69,69,1581837204401242112,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",@jeninthe405 @stevelackmeyer @sonicdrivein Where is this one located?,0,,,
70,70,1581834427449356288,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","@Rbcachu92 Thanks for Tweet like.
#TeamCalorieBudget
@sonicdrivein 
@Sunkist 
#Beverages with @truvia https://t.co/tgujmipuex",1,,,
71,71,1581832667896909824,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Spooky season @sonicdrivein https://t.co/QeNilDBuGd,1,,,
